id|company_id|services_scope_cn|service_hotline|email|address_cn|added_detail_cn|tips_cn
001-002-031-0060|001-002-031|馬鞍山|2640 8705||馬鞍山鞍山里 21 號|汽車護理服務, 尿素泵服務, 換油服務, 電腦洗車服務, 人手洗車服務, 便利店, 供應車用石油氣|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-031-0061|001-002-031|青衣|2431 0223||青衣西路 173 號|尿素泵服務, 換油服務, 便利店, 供應車用石油氣, 高速柴油泵服務|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-031-0062|001-002-031|葵涌|2420 0518||大窩口青山公路 682-688 號 （向九龍方向）|尿素泵服務, 換油服務, 人手洗車服務, 便利店, 供應車用石油氣, 高速柴油泵服務|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-031-0063|001-002-031|粉嶺（北）|2776 3823||粉嶺沙頭角公路46 號龍躍頭段|尿素泵服務, 便利店, 供應車用石油氣, 高速柴油泵服務|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-031-0064|001-002-031|唐人新村|2477 4991||元朗唐人新村道 20 號|尿素泵服務, 便利店, 高速柴油泵服務|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-031-0065|001-002-031|屏山*|2447 1117||元朗屏山青山公路11號|便利店|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-031-0066|001-002-031|坳頭|2478 8229||元朗坳頭青山公路2K號|尿素泵服務, 換油服務, 電腦洗車服務, 便利店, 高速柴油泵服務|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-031-0067|001-002-031|沙田第一城|2649 3331||沙田第一城樂城街 5-7 號|換油服務, 電腦洗車服務, 便利店, 高速柴油泵服務|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-031-0068|001-002-031|九龍水塘**|2386 5977||大埔公路 488 號|便利店, 高速柴油泵服務|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-031-0069|001-002-031|屯門|2464 4837||屯門震寰路 5 號|尿素泵服務, 便利店, 高速柴油泵服務|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-031-0070|001-002-031|康樂園|2653 2188||大埔康樂園市中心徑16號|換油服務, 人手洗車服務, 便利店|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-031-0071|001-002-031|沙田嶺|2609 1285||沙田嶺大埔公路 8500 號|便利店, 高速柴油泵服務|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-031-0072|001-002-031|荃灣（西）|2490 2906||荃灣柴灣角街 84-92 號|便利店|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-031-0073|001-002-031|荃灣（新）|2420 1851||大窩口青山公路 731-737 號（西行線）|換油服務, 人手洗車服務, 便利店, 高速柴油泵服務|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-031-0074|001-002-031|洪水橋|2474 2578||元朗洪水橋青山公路202號|尿素泵服務, 便利店, 高速柴油泵服務|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-031-0075|001-002-031|錦上路|2483 2537||錦上路118號|便利店, 供應車用石油氣, 高速柴油泵服務|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-031-0076|001-002-031|小欖|2725 9978||屯門青山公路大欖段98號|尿素泵服務, 換油服務, 便利店|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-031-0077|001-002-031|新墟|2459 8130||屯門新墟新德街3號|尿素泵服務, 便利店, 供應車用石油氣, 高速柴油泵服務|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-031-0078|001-002-031|域多利道|2551 9346||域多利道 555 號 （近碧瑤灣）|尿素泵服務, 換油服務, 人手洗車服務, 便利店, 高速柴油泵服務|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-031-0079|001-002-031|薄扶林|2495 2585||薄扶林道100號|尿素泵服務, 便利店, 供應車用石油氣|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-031-0080|001-002-031|鰂魚涌|2561 3084||鰂魚涌英皇道 979 號 A|便利店, 高速柴油泵服務|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-031-0081|001-002-031|電氣道|2570 3034||北角電氣道 169-171 號|便利店, 高速柴油泵服務|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-031-0082|001-002-031|啟德|2383 3160||太子道東 590 號|換油服務, 人手洗車服務, 便利店, 高速柴油泵服務|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-031-0083|001-002-031|大角咀|2392 8729||大角咀道 82 號 （晏架街交界）|換油服務, 便利店|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-031-0084|001-002-031|角祥街|2395 2305||深旺道3號地下 （角祥街交界）|便利店|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-031-0085|001-002-031|塘尾道|2393 1815||旺角道 2 號 （塘尾道交界）|換油服務, 人手洗車服務, 便利店|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-031-0086|001-002-031|亞皆老街|2713 7221||亞皆老街 108 號（梭椏道交界）|便利店|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-031-0087|001-002-031|通菜街|2381 6924||旺角界限街 48-50 號 （通菜街交界）|便利店|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-031-0088|001-002-031|大坑東|2777 9304||大坑東道 17 號|便利店|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-031-0089|001-002-031|公主道|2768 7362||公主道58號|便利店|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-031-0090|001-002-031|界限街|2337 7027||界限街 126-128 號|便利店, 高速柴油泵服務|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-031-0091|001-002-031|九龍灣 (西)|2798 9508||九龍灣啟福道6號（向土瓜灣方向）|便利店, 供應車用石油氣, 尿素泵服務, 高速柴油泵服務|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-031-0092|001-002-031|馬頭圍道|2712 4973||馬頭圍道 163 號|便利店|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-031-0093|001-002-031|九龍灣 (東)|2758 9621||九龍灣啟福道 5 號 （向觀塘方向）|換油服務, 人手洗車服務, 便利店, 供應車用石油氣, 高速柴油泵服務|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-031-0094|001-002-031|鯉魚門道|2349 9893||鯉魚門道 8 號|電腦洗車服務, 便利店, 高速柴油泵服務|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-031-0095|001-002-031|通州街|2741 0802||青山道 493-495 號 （通州街交界）|換油服務, 人手洗車服務, 便利店, 高速柴油泵服務|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-031-0096|001-002-031|大埔道|2777 2286||大埔道 45號B （南昌街交界）|便利店|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-031-0097|001-002-031|機場（貨運中心）|2215 0088||赤鱲角機場駿運路 20 號|便利店, 高速柴油泵服務|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-031-0098|001-002-031|機場（客運大樓）|2949 0328||赤鱲角機場暢景路6 號|便利店, 供應車用石油氣, 高速柴油泵服務|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-032-0099|001-002-032|薄扶林|28193281||薄扶林道80號（蒲飛路巴士總站旁）||本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-032-0100|001-002-032|大坑|28057039||渣甸山大坑道137號（白建時道交界）||本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-032-0101|001-002-032|香港仔|25532573||香港仔東勝道30號（利港商場旁）||本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-032-0102|001-002-032|淺水灣|24675128||淺水灣南灣道鄉郊建屋地段1196號（南灣道路口）||本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-032-0103|001-002-032|九龍塘|23382627||窩打老道201號（往獅子山隧道入口方向）||本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-032-0104|001-002-032|荔枝角|27423366||長沙灣荔枝角道808號好運工業中心地下||本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-032-0105|001-002-032|將軍澳|27023981||將軍澳寶康路110號（茵怡花園對面）||本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-032-0106|001-002-032|荃灣|24199876||荃灣楊屋道171號（橫龍街交界）||本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-032-0107|001-002-032|錦田|31267057||元朗錦田公路 188 號 (近石崗軍營)||本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-032-0108|001-002-032|東涌|29881809||大嶼山東涌松仁路3號（裕東路交界）||本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-032-0109|001-002-032|何文田|27158899||何文田公主道107號（往紅隧入口方向，愛民邨愛護動物協會側）||本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-032-0110|001-002-032|深水埗|27202020||深水埗大埔道338號（往深水埗方向，近美荷樓）||本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-032-0111|001-002-032|九龍城|26739006||九龍新蒲崗太子道東592號（舊啟德機場對面)||本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-032-0112|001-002-032|觀塘|26739000||觀塘道373號（創紀之城對面)||本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-032-0113|001-002-032|大圍|26739007||沙田大圍積存街1號||本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-032-0114|001-002-032|粉嶺|26739288||新界粉嶺馬會道338號||本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-032-0115|001-002-032|大埔|26739008||新界大埔廣福道1號P（近消防局)||本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-033-0116|001-002-033|薄扶林油站|2986 4311||香港薄扶林道76號（蒲飛路巴士總站）||本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-033-0117|001-002-033|柴灣油（氣）站|2976 9276||香港柴灣創富道5號（近杏花村油庫）||本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-033-0118|001-002-033|黃泥涌峽道油站|2893 7701||黃泥涌峽道145號|服務:EASYJOY便利店|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-033-0119|001-002-033|堅拿道西油站|2892 2761||香港銅鑼灣堅拿道西35號（堅拿道天橋底）|服務:電腦洗車,EASYJOY便利店,換油服務,汽車美容|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-033-0120|001-002-033|堅尼地道油站|2527 0179||香港灣仔堅尼地道9J|服務:EASYJOY便利店,換油服務,汽車美容|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-033-0121|001-002-033|麥當勞道油站|2524 8032||香港半山中區麥當勞道3A|服務:EASYJOY便利店|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-033-0122|001-002-033|山頂油站|2849 7869||香港山頂道鄉郊建屋地段第1184-1185號|服務:EASYJOY便利店|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-033-0123|001-002-033|上環石油氣站|2803 7955||香港上環豐物道9號|服務:EASYJOY便利店|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-033-0124|001-002-033|英皇道油站|2214 1432||香港鰂魚涌英皇道892號（北角官立小學）|服務:EASYJOY便利店|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-033-0125|001-002-033|域多利道油站|2872 8666||香港堅尼地城域多利道61號|服務:EASYJOY便利店|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-033-0126|001-002-033|觀塘道油站|2631 3009||九龍觀塘道371號|服務:EASYJOY便利店,柴油高速泵|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-033-0127|001-002-033|觀塘石油氣站|2349 4013||九龍觀塘茶果嶺偉樂街9號|服務:EASYJOY便利店|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-033-0128|001-002-033|宏展街油（氣）站|2331 9526||九龍九龍灣宏展街16號（國際展貿中心傍）|服務:EASYJOY便利店,柴油高速泵|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-033-0129|001-002-033|九龍塘油（氣）站|2336 7420||九龍歌和老街18E（歌和老街公園對面）|服務:EASYJOY便利店,網購提貨|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-033-0130|001-002-033|九龍灣石油氣站|2246 9324||九龍灣祥業街2K號|服務:EASYJOY便利店|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-033-0131|001-002-033|荔枝角油站|2790 7107||九龍荔枝角道779號|服務:EASYJOY便利店,柴油高速泵|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-033-0132|001-002-033|太子道西油站|2398 7737||九龍太子道西187A（近帝京酒店）|服務:EASYJOY便利店,柴油高速泵|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-033-0133|001-002-033|窩打老道油站|2711 7237||九龍窩打老道82B|服務:EASYJOY便利店,電腦洗車,換油服務,汽車美容,柴油高速泵|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-033-0134|001-002-033|凹頭油（氣）站|2479 7601||新界元朗錦田路17號|服務:EASYJOY便利店,網購提貨,柴油高速泵|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-033-0135|001-002-033|壆圍油站|2471 4281||新界元朗壆圍139號（近錦繡花園）|服務:EASYJOY便利店,柴油高速泵|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-033-0136|001-002-033|大埔滘油（氣）站|2651 3873||新界大埔滘大埔道151號（鹿茵山莊附近）|服務:電腦洗車,EASYJOY便利店,換油服務,汽車美容|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-033-0137|001-002-033|大埔石油氣站|2651 3886||新界大埔廣進街1號|服務:EASYJOY便利店|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-033-0138|001-002-033|大棠路油站|2647 7013||新界元朗大棠路90號|服務:EASYJOY便利店,柴油高速泵|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-033-0139|001-002-033|東涌1油（氣）站|2109 2971||大嶼山東涌新市鎮喜東街25號|服務:EASYJOY便利店,電腦洗車,換油服務,汽車美容|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-033-0140|001-002-033|東涌2油（氣）站|2109 1941||大嶼山東涌新市鎮喜東街23號|服務:EASYJOY便利店,汽車美容|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-033-0141|001-002-033|粉嶺南油（氣）站|2677 6028||新界粉嶺一鳴路30號（近祥華村，花都廣場）|服務:電腦洗車,EASYJOY便利店,柴油高速泵|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-033-0142|001-002-033|粉嶺圍油站|2673 6553||新界粉嶺新運道70號 （近粉嶺泳池）|服務:EASYJOY便利店,電腦洗車,網購提貨|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-033-0143|001-002-033|崗背街油站|2724 2618||新界沙田崗背街20號|服務:EASYJOY便利店,換油服務,汽車美容|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-033-0144|001-002-033|黃金海岸油站|2458 8632||新界屯門青山公路（掃管笏段）38號（近黃金海岸）|服務:EASYJOY便利店,電腦洗車,網購提貨|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-033-0145|001-002-033|灰沙圍油（氣）站|2479 8563||新界屏山青山公路10號|服務:EASYJOY便利店,柴油高速泵|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-033-0146|001-002-033|貨櫃碼頭路油站|2729 7731||新界葵涌貨櫃碼頭路108號|服務:EASYJOY便利店,換油服務,汽車美容,柴油高速泵|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-033-0147|001-002-033|錦繡花園油站|2482 4886||新界元朗錦繡花園大道2A|服務:EASYJOY便利店,柴油高速泵|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-033-0148|001-002-033|井欄樹油（氣）站|2522 2324||新界西貢清水灣道233號|服務:EASYJOY便利店|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-033-0149|001-002-033|葵涌石油氣站|2428 0480||新界葵涌葵安街2號|服務:EASYJOY便利店|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-033-0150|001-002-033|藍地油（氣）站|2454 2743||新界屯門藍地福亨村路2號（近妙法寺）|服務:電腦洗車,EASYJOY便利店,柴油高速泵|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-033-0151|001-002-033|林錦油站|2483 1177||新界元朗林錦公路5號|服務:EASYJOY便利店,電腦洗車|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-033-0152|001-002-033|馬鞍山石油氣站|2144 9687||新界沙田馬鞍山恒耀街11號|服務:EASYJOY便利店|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-033-0153|001-002-033|屏山油（氣）站|2474 7877||新界元朗屏山唐人新村路9號|服務:EASYJOY便利店,電腦洗車|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-033-0154|001-002-033|青衣油（氣）站|2434 5596||新界青衣島青衣路55號（近衡和化學廢料處理廠）|服務:EASYJOY便利店,電腦洗車,換油服務,汽車美容,網購提貨,柴油高速泵|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-033-0155|001-002-033|荃灣油（氣）站|2429 6113||新界葵涌青山公路690號|服務:EASYJOY便利店,柴油高速泵|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-033-0156|001-002-033|掃管笏油站|2618 1792||新界屯門掃管笏路22號|服務:EASYJOY便利店,換油服務,汽車美容|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-033-0157|001-002-033|上葵涌油（氣）站|2741 0818||新界葵涌青山公路101號|服務:EASYJOY便利店,柴油高速泵|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-033-0158|001-002-033|上水油站|2672 7542||新界上水新豐路5號|服務:EASYJOY便利店,柴油高速泵|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-033-0159|001-002-033|石崗油（氣）站|2488 3328||新界元朗石崗錦田路190號（近錦田診所）|服務:EASYJOY便利店,換油服務|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-033-0160|001-002-033|天水圍油（氣）站|2472 2544||新界天水圍屏廈路123號（近田廈路交界）|服務:EASYJOY便利店,網購提貨,柴油高速泵|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-033-0161|001-002-033|汀太路油站|2667 7602||新界大埔汀太路10號|服務:EASYJOY便利店,網購提貨|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-033-0162|001-002-033|屯仁街油站|2618 1521||新界屯門屯仁街6號|服務:EASYJOY便利店,網購提貨|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-033-0163|001-002-033|西貢油（氣）站|2321 3868||新界西貢公路699號|服務:EASYJOY便利店,網購提貨,柴油高速泵|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-033-0164|001-002-033|小瀝源油（氣）站|2647 8255||新界沙田小瀝源源安街12號 （近小瀝源警署）|服務:EASYJOY便利店,網購提貨,柴油高速泵|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-033-0165|001-002-033|元朗石油氣站|2944 3269||新界元朗東頭工業區德業街14號|服務:EASYJOY便利店,網購提貨|本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-034-0166|001-002-034|葵興|2401-1503||葵涌地段714青山公路551-561號（昌榮路迴旋處）||本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
001-002-034-0167|001-002-034|蘭秀街|2741-9284||美孚新村第6期蘭秀道5085地段||本周折扣優惠 (https://oil-price.consumer.org.hk/tc/weekly-discount)
